"","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases","Yellow fever - number of reported cases"
"Country"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 1989"," 1988"," 1987"," 1986"," 1985"," 1984"," 1983"," 1982"," 1981"," 1980"," 1979"," 1978"," 1977"," 1976"," 1975"," 1974"
"Afghanistan","","0","","0","","","0","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Albania","0","","","0","0","0","0","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Algeria","0","0","","","0","0","0","0","0","","","","","","","","0","","","0","","","0","0","0","0","","","","","","","","","","","","","","","","",""
"Andorra","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","881","3","0","0","0","0","0","","","0","0","0","0","0","0","0","0","","","0","","","","","","0","0","0","37","","","","","","","","","","","","","",""
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","0","0","0","0","0","0","0","0","8","0","0","0","0","","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","0","","0","0","","0","0","","","","","0","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","0","0","0","","0","0","0","0","0","0","","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azerbaijan","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bahamas","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","0","0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Barbados","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","0","","0","0","0","0","0","0","0","0","","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belize","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","0","0","0","0","0","0","0","0","0","0","0","0","31","57","0","0","10","0","6","20","109","47","","","","","","","","","","","","","","","","","","","","",""
"Bhutan","0","","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bolivia (Plurinational State of)","0","0","0","1","3","2","3","0","1","6","16","16","13","6","15","4","8","68","57","63","30","15","7","18","22","91","50","107","12","23","26","53","5","11","95","102","46","10","11","2","19","151","12"
"Bosnia and Herzegovina","0","","","","","0","","","0","0","","","","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Botswana","0","0","","","","","","","","0","","0","","","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","43","9","1","3","0","0","2","46","46","13","2","3","5","64","15","41","85","76","34","3","15","4","19","83","12","15","5","9","26","16","9","7","45","6","24","22","27","12","27","9","1","1","13"
"Brunei Darussalam","0","0","0","","0","0","","0","0","","","0","0","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Burkina Faso","1","2","0","0","0","1024","7","1","4","2","3","19","14","1","288","0","0","3","2","0","1","0","","","","","","","","","","7","17","356","","","","","","","","",""
"Burundi","","","","","","0","0","0","0","0","0","","0","","","","","0","0","0","","260","","","","","","","","","","","","","","","","","","","","",""
"Cabo Verde","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","","0","0","0","0","","","","","","","","","","0","","","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","61","2","3","15","31","29","16","8","2","2","1","2","3","2","0","0","","","","0","","","10","","","0","173","0","0","","","","1","","","","7","","","","1","2","1"
"Canada","2","4","5","0","3","2","0","0","1","0","0","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","0","0","0","4","0","7","6","29","5","0","1","0","0","2","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Chad","1","0","0","5","48","122","79","3","0","","0","0","0","0","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"Chile","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"China","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colombia","6","0","0","1","0","0","0","5","3","7","5","20","32","102","20","9","5","2","1","5","8","3","2","1","2","4","7","1","7","17","6","5","16","1","2","7","11","51","105","9","22","12","36"
"Comoros","","0","0","","","","0","0","0","0","0","0","0","0","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"Congo","0","0","0","1","1","188","0","1","0","0","0","0","0","0","","0","","0","","0","0","","","","","","","","","","","","","","","","","","","","","",""
"Cook Islands","","","","","0","","0","","","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","0","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"C̫te d'Ivoire","3","15","21","6","5","10","49","22","14","0","2","2","0","1","158","80","","1","0","11","0","","","","","","","","","","","","","","25","","","","","","","",""
"Croatia","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cuba","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Czechia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Democratic People's Republic of Korea","0","0","0","0","0","0","","0","0","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Democratic Republic of the Congo","77","0","3","","1","195","289","0","113","204","81","140","1192","18","","36","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","0","","","0","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Djibouti","","","","","","","0","0","0","0","","","","","","0","","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominica","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dominican Republic","","","0","0","0","0","0","0","0","0","","","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ecuador","0","0","0","0","1","0","0","0","0","0","0","0","","0","0","0","2","3","4","31","8","1","0","1","16","14","12","0","0","0","0","1","1","5","","2","2","14","1","","1","3",""
"Egypt","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"El Salvador","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Equatorial Guinea","0","0","0","0","0","0","0","0","10","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"Eritrea","0","","","0","0","","","","","","","","0","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","",""
"Estonia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eswatini","","","","0","0","0","","0","0","0","0","0","0","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","",""
"Ethiopia","0","","","223","0","","","","0","0","0","0","","0","0","0","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","",""
"Fiji","","","","","","","0","0","0","0","0","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Finland","0","0","","","","0","0","0","0","0","0","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","","","","0","","0","","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Gabon","0","1","0","0","0","0","0","0","0","0","57","0","","","0","2","","","","","0","16","28","0","0","","","","","","","","","","","","","","","","","",""
"Gambia","0","0","0","0","1","0","0","0","0","0","0","0","0","9","0","0","","0","","0","","","","","","","","","","","","","","","","","","","270","","","",""
"Georgia","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Germany","0","0","0","0","0","0","0","","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ghana","1","0","0","7","3","30","155","0","0","0","79","2","1","24","51","0","0","0","0","6","182","0","79","39","0","0","0","0","0","","","","","372","6","4","9","494","219","110","2","2","1"
"Greece","0","0","","","0","0","0","0","0","","","0","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grenada","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guatemala","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","4","","2","2","0","0","2","4","5","0","6","215","6","51","39","273","445","0","0","0","0","","","","","","","","","5","","","","","","","","","","","","",""
"Guinea-Bissau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","4","","0","0","","","","","","","","","","","","","","","","","","","","","",""
"Guyana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Haiti","","","0","","0","","0","0","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Honduras","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Hungary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"India","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","","","","","","","0","0","0","0","0","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","","","","","","","","","","","","","","","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Iraq","","","0","0","","0","","","0","0","","0","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Israel","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","","0","","","","","","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jamaica","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","0","0","0","0","0","0","0","0","0","0","","","","0","0","0","0","","0","","0","","","","","","","","","","","","","","","","","","","","","",""
"Jordan","","","","","","0","0","0","0","0","0","0","","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","0","0","","0","0","","0","0","0","0","0","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kenya","3","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","11","7","27","27","","","","","","","","","","","","","","","","","",""
"Kiribati","","","0","0","0","","0","0","0","0","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Kuwait","","","","0","0","0","0","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Kyrgyzstan","","","","","","","","","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lao People's Democratic Republic","0","","","","0","","","","","","0","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","0","0","","0","0","0","0","0","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lebanon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Lesotho","0","0","0","0","0","0","0","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Liberia","0","1","1","0","17","0","1","1","1","0","26","41","4","54","74","158","137","","25","3","","360","","","","","","","","","","","","","","","","","","","","",""
"Libya","","","","","0","","","0","0","0","0","0","","","","0","","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Luxembourg","0","0","","0","0","0","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madagascar","","","","","","0","0","0","","","","","","","0","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"Malawi","0","0","0","0","","","","","","","","","0","","","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Maldives","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Mali","0","10","1","0","0","0","3","4","0","1","0","43","1","0","0","0","0","0","0","0","0","","","","","","","","","305","","","","","","","","","","","","",""
"Malta","0","0","0","","","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marshall Islands","","","","","0","0","0","0","","0","0","","0","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mauritania","0","0","","0","0","","","","0","0","0","","0","10","0","0","","","0","0","","","","","","","","","","21","","","","","","","","","","","","",""
"Mauritius","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","",""
"Mexico","0","0","0","0","0","0","0","0","0","","","0","0","0","","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Micronesia (Federated States of)","0","0","0","","","","0","0","","0","0","","","0","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Monaco","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mongolia","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Montenegro","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","","","","","","0","","","","0","0","","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Mozambique","","0","","","","","","","0","0","","","","","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"Myanmar","","","","","","","","","","","0","0","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Namibia","0","0","0","","","0","0","0","3","0","","","0","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Nauru","","","","","","0","0","0","0","0","0","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nepal","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Netherlands","","0","0","0","0","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Nicaragua","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Niger","0","0","0","0","0","20","0","0","0","","0","","0","0","0","0","0","0","0","0","","0","","","","0","","0","","0","","","","","","","","","","","","",""
"Nigeria","0","0","0","0","0","387","0","0","0","0","","","","","0","5","0","","0","7","0","","1227","152","149","2561","4075","3270","5067","2676","1318","6","898","15","","","8","","60","","","","7"
"Niue","","","","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oman","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Palau","0","0","0","0","0","0","0","0","0","0","0","","0","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Panama","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","4"
"Paraguay","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","9"
"Peru","62","24","17","21","9","13","18","8","15","27","63","66","67","26","51","28","6","58","165","44","86","499","61","89","67","27","17","120","195","179","118","59","28","27","19","98","30","97","93","82","1","1","2"
"Philippines","","","","","","","","0","0","","","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","0","","","0","0","","0","0","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Portugal","0","0","0","","0","0","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Qatar","0","0","0","0","0","0","0","0","","0","0","0","","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Republic of Korea","","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Republic of Moldova","0","0","0","0","0","0","0","","0","0","0","0","0","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Russian Federation","","","0","","","0","","","0","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rwanda","0","0","0","0","0","0","","","","","","0","","0","0","","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","",""
"Saint Kitts and Nevis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Lucia","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saint Vincent and the Grenadines","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samoa","","","","","0","0","0","0","","","0","","0","","","0","","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"San Marino","0","","","","0","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sao Tome and Principe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","",""
"Saudi Arabia","0","0","","0","","0","0","0","0","0","0","0","","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Senegal","0","1","0","2","1","7","1","0","0","0","1","7","1","163","","18","0","0","","0","","","","0","0","0","","","","","","","","","","3","","1","","","","",""
"Serbia","","","","","","","","","0","0","0","","0","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seychelles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
"Sierra Leone","0","0","0","3","94","361","0","3","111","0","12","3","0","95","0","","1","","","0","","1","","","","","","","","","","","","","","","","","","","","134",""
"Singapore","","","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Solomon Islands","","","","0","0","0","0","0","0","0","0","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Africa","0","0","0","0","","0","","0","","","0","0","0","0","","0","0","","0","0","0","","","0","0","0","0","0","","","","","","","","","","","","","","",""
"South Sudan","","0","0","","0","128","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","","","","0","0","0","0","1","0","0","0","0","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sri Lanka","0","0","0","0","0","0","0","0","","","","0","0","","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Sudan","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Suriname","","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweden","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Switzerland","0","","","","","","","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Syrian Arab Republic","0","","","0","0","0","0","0","0","0","","0","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tajikistan","0","","","","","","","","","","0","","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Thailand","0","0","0","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Republic of North Macedonia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Timor-Leste","","0","0","0","0","0","","0","0","0","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Togo","0","0","0","0","12","0","0","0","2","3","3","0","0","0","0","0","0","0","0","0","","0","","","","","","","","5","","","1","","","","","","","","","",""
"Tonga","0","","","0","0","0","0","0","0","","0","","","","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trinidad and Tobago","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","0","","","","","","","","","","","","","","","","","","18","","","","",""
"Tunisia","0","","","","0","","","","","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","","","","","","0","0","0","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkmenistan","0","","","","","","","","","","0","","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuvalu","","","","","","","","","0","0","0","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Uganda","8","","","","32","66","106","0","0","0","0","0","","11","","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","",""
"Ukraine","","","","","","0","","","0","0","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Arab Emirates","","","","","","","0","","0","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Kingdom of Great Britain and Northern Ireland","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United Republic of Tanzania","","","","0","0","","","","","0","0","0","0","","0","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"United States of America","","","0","0","0","0","0","0","0","","","","","0","1","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Uruguay","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
"Uzbekistan","0","0","","0","","0","0","0","0","","0","0","0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vanuatu","","","","","","","","","","","","","","","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"Venezuela (Bolivarian Republic of)","0","0","0","0","0","0","0","0","0","0","0","12","5","43","3","0","0","1","15","0","","2","","","","","","","","","","","","","","","4","3","3","","","",""
"Viet Nam","","","","","","","","","","","","","","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yemen","","","","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zambia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"Zimbabwe","","0","","","0","","","0","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
